Protein,Interaction,Drug,Scores
LYN,PD,D03252,0.6991
LYN,PD,D03736,0.6952
LYN,PD,D01977,0.6433
MAP2K1,PD,D08279,0.7185
MAP2K1,PD,D08552,0.6771
MAP2K1,PD,D09731,0.6044
MAP2K2,PD,D08279,0.8124
MAP2K2,PD,D08552,0.704
MAP2K2,PD,D09731,0.659
MAP2K3,PD,D08552,0.7071
MAP2K4,PD,D08552,0.6158
MAP2K5,PD,D06407,0.6783
MAP2K5,PD,D08552,0.658
MAP2K5,PD,D08279,0.6087
MAP3K12,PD,D08279,0.6675
MAP3K12,PD,D08552,0.6296
MAP3K2,PD,D08552,0.8288
MAP3K2,PD,D08279,0.6859
MAP3K2,PD,D03252,0.6016
MAP3K20,PD,D06407,0.6989
MAP3K20,PD,D03658,0.6037
MAP3K3,PD,D08552,0.8207
MAP3K3,PD,D08279,0.6829
MAP4K1,PD,D08552,0.7327
MAP4K1,PD,D08279,0.7292
MAP4K1,PD,D03252,0.6688
MAP4K1,PD,D05399,0.6453
MAP4K1,PD,D09731,0.6388
MAP4K1,PD,D08950,0.6094
MAP4K3,PD,D08279,0.7587
MAP4K3,PD,D08552,0.7347
MAP4K3,PD,D03252,0.6849
MAP4K3,PD,D09731,0.652
MAP4K3,PD,D08950,0.6511
MAP4K3,PD,D05399,0.6506
MAP4K5,PD,D08279,0.8296
MAP4K5,PD,D06407,0.7102
MAP4K5,PD,D09731,0.7038
MAP4K5,PD,D08552,0.6946
MAP4K5,PD,D05399,0.6722
MAP4K5,PD,D03252,0.6666
MAP4K5,PD,D08950,0.6493
MAP4K5,PD,D03658,0.6386
MAPK1,PD,D00802,0.8198
MAPK1,PD,D00565,0.7918
MAPK1,PD,D08217,0.7859
MAPK1,PD,D02629,0.7621
MAPK1,PD,D03135,0.7495
MAPK1,PD,D00859,0.7453
MAPK1,PD,D02335,0.7448
MAPK1,PD,D01046,0.7399
MAPK1,PD,D06543,0.7374
MAPK1,PD,D02027,0.7346
MAPK1,PD,D03736,0.7234
MAPK1,PD,D00282,0.7178
MAPK1,PD,D00386,0.7169
MAPK1,PD,D00364,0.71
MAPK1,PD,D00881,0.7024
MAPK1,PD,D00493,0.7022
MAPK1,PD,D00886,0.6876
MAPK1,PD,D05197,0.68
MAPK1,PD,D00560,0.6788
MAPK1,PD,D08224,0.666
MAPK1,PD,D01345,0.6568
MAPK1,PD,D07668,0.6568
MAPK1,PD,D00395,0.6525
MAPK1,PD,D00094,0.6515
MAPK1,PD,D01745,0.6409
MAPK1,PD,D01264,0.6304
MAPK1,PD,D02166,0.6273
MAPK1,PD,D08411,0.627
MAPK1,PD,D01775,0.6258
MAPK1,PD,D05819,0.6143
MAPK1,PD,D00436,0.6024
MAPK1,PD,D07870,0.6002
MAPK14,PD,D03736,0.614
MAPK7,PD,D08552,0.6735
MAPT,PD,D00094,1
MAPT,PD,D00411,1
MAPT,PD,D00881,1
MAPT,PD,D02335,1
MAPT,PD,D06114,1
MAPT,PD,D05799,0.9873
MAPT,PD,D06096,0.9853
MAPT,PD,D06543,0.9722
MAPT,PD,D03882,0.9643
MAPT,PD,D00859,0.9489
MAPT,PD,D01264,0.9455
MAPT,PD,D00798,0.9385
MAPT,PD,D00802,0.935
MAPT,PD,D00577,0.9309
MAPT,PD,D05738,0.9275
MAPT,PD,D00131,0.924
MAPT,PD,D07245,0.9145
MAPT,PD,D00882,0.9136
MAPT,PD,D08062,0.9112
MAPT,PD,D05819,0.9097
MAPT,PD,D01046,0.9017
MAPT,PD,D02754,0.8962
MAPT,PD,D03135,0.8849
MAPT,PD,D03635,0.882
MAPT,PD,D01653,0.8806
MAPT,PD,D00886,0.8759
MAPT,PD,D00188,0.8728
MAPT,PD,D00919,0.8706
MAPT,PD,D00282,0.8527
MAPT,PD,D01750,0.8476
MAPT,PD,D01621,0.838
MAPT,PD,D01775,0.8337
MAPT,PD,D01275,0.8233
MAPT,PD,D00120,0.8113
MAPT,PD,D02601,0.8064
MAPT,PD,D00359,0.8062
MAPT,PD,D01575,0.8041
MAPT,PD,D00290,0.7976
MAPT,PD,D00395,0.7971
MAPT,PD,D00617,0.7943
MAPT,PD,D02815,0.7841
MAPT,PD,D00373,0.7832
MAPT,PD,D00233,0.7821
MAPT,PD,D00780,0.7815
MAPT,PD,D00351,0.7795
MAPT,PD,D00898,0.7788
MAPT,PD,D00129,0.7773
MAPT,PD,D02191,0.771
MAPT,PD,D04876,0.7697
MAPT,PD,D07218,0.7665
MAPT,PD,D01552,0.7644
MAPT,PD,D00142,0.759
MAPT,PD,D01688,0.7582
MAPT,PD,D00633,0.7562
MAPT,PD,D00907,0.756
MAPT,PD,D02211,0.7558
MAPT,PD,D07647,0.7534
MAPT,PD,D00913,0.7519
MAPT,PD,D00238,0.7473
MAPT,PD,D00420,0.7419
MAPT,PD,D07870,0.7401
MAPT,PD,D01956,0.7383
MAPT,PD,D04184,0.7373
MAPT,PD,D00313,0.7327
MAPT,PD,D00896,0.7312
MAPT,PD,D00100,0.7305
MAPT,PD,D02629,0.7281
MAPT,PD,D08372,0.7274
MAPT,PD,D03165,0.7266
MAPT,PD,D07107,0.7232
MAPT,PD,D01430,0.7211
MAPT,PD,D07211,0.7193
MAPT,PD,D08207,0.7174
MAPT,PD,D00885,0.7159
MAPT,PD,D07833,0.7156
MAPT,PD,D00908,0.713
MAPT,PD,D00799,0.7128
MAPT,PD,D02005,0.7122
MAPT,PD,D07635,0.7052
MAPT,PD,D00436,0.7048
MAPT,PD,D02217,0.7048
MAPT,PD,D02609,0.7038
MAPT,PD,D00381,0.6973
MAPT,PD,D07244,0.6961
MAPT,PD,D01261,0.6927
MAPT,PD,D08270,0.6917
MAPT,PD,D01290,0.6912
MAPT,PD,D04162,0.6911
MAPT,PD,D00364,0.6909
MAPT,PD,D02166,0.6905
MAPT,PD,D00849,0.6894
MAPT,PD,D00789,0.6893
MAPT,PD,D02486,0.6883
MAPT,PD,D07364,0.6867
MAPT,PD,D08602,0.686
MAPT,PD,D00581,0.686
MAPT,PD,D03538,0.686
MAPT,PD,D00565,0.6824
MAPT,PD,D08217,0.682
MAPT,PD,D00449,0.6703
MAPT,PD,D01056,0.6684
MAPT,PD,D00800,0.6655
MAPT,PD,D06238,0.6646
MAPT,PD,D00609,0.6642
MAPT,PD,D01338,0.6614
MAPT,PD,D00830,0.6598
MAPT,PD,D00302,0.6596
MAPT,PD,D00270,0.6582
MAPT,PD,D04262,0.6543
MAPT,PD,D00735,0.6538
MAPT,PD,D00521,0.6522
MAPT,PD,D00231,0.6515
MAPT,PD,D00493,0.6502
MAPT,PD,D04226,0.647
MAPT,PD,D00560,0.6463
MAPT,PD,D00486,0.6448
MAPT,PD,D08636,0.644
MAPT,PD,D00348,0.6438
MAPT,PD,D03472,0.6431
MAPT,PD,D07977,0.6427
MAPT,PD,D04441,0.6412
MAPT,PD,D07208,0.6402
MAPT,PD,D05024,0.64
MAPT,PD,D00412,0.6375
MAPT,PD,D00791,0.6371
MAPT,PD,D08662,0.6315
MAPT,PD,D08330,0.6291
MAPT,PD,D01324,0.6277
MAPT,PD,D05442,0.6273
MAPT,PD,D07688,0.6261
MAPT,PD,D08499,0.6259
MAPT,PD,D01674,0.6254
MAPT,PD,D01302,0.6246
MAPT,PD,D08224,0.6234
MAPT,PD,D06226,0.6232
MAPT,PD,D00541,0.6217
MAPT,PD,D00269,0.6178
MAPT,PD,D01574,0.6132
MAPT,PD,D08240,0.608
MAPT,PD,D00256,0.6078
MAPT,PD,D00476,0.607
MAPT,PD,D00214,0.6068
MAPT,PD,D00576,0.6029
MAPT,PD,D00141,0.6016
MAPT,PD,D00608,0.6012
MARK2,PD,D08552,0.6891
MEN1,PD,D00859,0.949
MEN1,PD,D01046,0.886
MEN1,PD,D01264,0.8639
MEN1,PD,D02341,0.8486
MEN1,PD,D00881,0.847
MEN1,PD,D05693,0.8463
MEN1,PD,D02166,0.8319
MEN1,PD,D03567,0.8184
MEN1,PD,D07244,0.8171
MEN1,PD,D00802,0.816
MEN1,PD,D00411,0.8122
MEN1,PD,D05819,0.8106
MEN1,PD,D02335,0.8061
MEN1,PD,D00882,0.8059
MEN1,PD,D08224,0.8054
MEN1,PD,D04222,0.7976
MEN1,PD,D03135,0.7955
MEN1,PD,D06114,0.7939
MEN1,PD,D01775,0.7929
MEN1,PD,D06096,0.7925
MEN1,PD,D00886,0.7913
MEN1,PD,D03106,0.7909
MEN1,PD,D00282,0.7878
MEN1,PD,D08338,0.7867
MEN1,PD,D08162,0.7845
MEN1,PD,D00436,0.784
MEN1,PD,D07136,0.7839
MEN1,PD,D02486,0.7813
MEN1,PD,D00290,0.778
MEN1,PD,D00626,0.7774
MEN1,PD,D07360,0.7771
MEN1,PD,D05442,0.7747
MEN1,PD,D01112,0.773
MEN1,PD,D01575,0.7723
MEN1,PD,D02851,0.7717
MEN1,PD,D04028,0.7706
MEN1,PD,D05456,0.7688
MEN1,PD,D01140,0.7644
MEN1,PD,D03470,0.759
MEN1,PD,D05738,0.7588
MEN1,PD,D00233,0.7567
MEN1,PD,D03493,0.7564
MEN1,PD,D03882,0.7562
MEN1,PD,D01913,0.7545
MEN1,PD,D01896,0.7534
MEN1,PD,D00401,0.7519
MEN1,PD,D06223,0.7518
MEN1,PD,D02534,0.7505
MEN1,PD,D07364,0.7494
MEN1,PD,D08062,0.7484
MEN1,PD,D00351,0.7479
MEN1,PD,D01049,0.7443
MEN1,PD,D01335,0.744
MEN1,PD,D00302,0.7437
MEN1,PD,D02217,0.741
MEN1,PD,D00005,0.7409
MEN1,PD,D02360,0.7404
MEN1,PD,D00449,0.7404
MEN1,PD,D01044,0.7398
MEN1,PD,D00169,0.7387
MEN1,PD,D00486,0.7385
MEN1,PD,D01956,0.7379
MEN1,PD,D00343,0.7375
MEN1,PD,D04184,0.7369
MEN1,PD,D00825,0.7364
MEN1,PD,D06134,0.7353
MEN1,PD,D00467,0.7329
MEN1,PD,D01200,0.7313
MEN1,PD,D00577,0.7288
MEN1,PD,D00395,0.7286
MEN1,PD,D00729,0.728
MEN1,PD,D00130,0.7276
MEN1,PD,D01071,0.7255
MEN1,PD,D01418,0.7242
MEN1,PD,D08552,0.7227
MEN1,PD,D08257,0.7211
MEN1,PD,D00849,0.7188
MEN1,PD,D01261,0.7181
MEN1,PD,D03564,0.7177
MEN1,PD,D04514,0.7172
MEN1,PD,D06218,0.7169
MEN1,PD,D00427,0.7151
MEN1,PD,D04140,0.715
MEN1,PD,D05951,0.7148
MEN1,PD,D00811,0.7144
MEN1,PD,D07282,0.7136
MEN1,PD,D03798,0.7135
MEN1,PD,D07270,0.7125
MEN1,PD,D01152,0.7113
MEN1,PD,D08470,0.7107
MEN1,PD,D05166,0.7086
MEN1,PD,D02204,0.7075
MEN1,PD,D07218,0.7075
MEN1,PD,D02027,0.7073
MEN1,PD,D05200,0.7069
MEN1,PD,D01404,0.7064
MEN1,PD,D01275,0.7058
MEN1,PD,D00965,0.7057
MEN1,PD,D00565,0.705
MEN1,PD,D00197,0.704
MEN1,PD,D03985,0.7033
MEN1,PD,D01773,0.7032
MEN1,PD,D00819,0.7027
MEN1,PD,D06067,0.7027
MEN1,PD,D01371,0.7023
MEN1,PD,D02797,0.7003
MEN1,PD,D02725,0.7003
MEN1,PD,D01096,0.6976
MEN1,PD,D03636,0.697
MEN1,PD,D00798,0.6944
MEN1,PD,D03620,0.691
MEN1,PD,D03663,0.6906
MEN1,PD,D02629,0.6903
MEN1,PD,D08465,0.6894
MEN1,PD,D08275,0.6869
MEN1,PD,D01338,0.6856
MEN1,PD,D00560,0.6852
MEN1,PD,D01164,0.6851
MEN1,PD,D08194,0.6849
MEN1,PD,D00364,0.6847
MEN1,PD,D00308,0.6838
MEN1,PD,D01833,0.6825
MEN1,PD,D08144,0.6815
MEN1,PD,D02236,0.6814
MEN1,PD,D04162,0.6803
MEN1,PD,D00681,0.6792
MEN1,PD,D03865,0.6786
MEN1,PD,D06200,0.6781
MEN1,PD,D00134,0.6779
MEN1,PD,D01437,0.6765
MEN1,PD,D04441,0.6763
MEN1,PD,D08577,0.6762
MEN1,PD,D08150,0.6739
MEN1,PD,D04696,0.6731
MEN1,PD,D00533,0.6696
MEN1,PD,D04733,0.6692
MEN1,PD,D01394,0.6687
MEN1,PD,D02846,0.6655
MEN1,PD,D05294,0.6652
MEN1,PD,D02655,0.6646
MEN1,PD,D07727,0.6635
MEN1,PD,D01745,0.6619
MEN1,PD,D00218,0.659
MEN1,PD,D02601,0.6567
MEN1,PD,D04226,0.6547
MEN1,PD,D00488,0.6547
MEN1,PD,D01705,0.6541
MEN1,PD,D05614,0.6535
MEN1,PD,D00377,0.653
MEN1,PD,D00824,0.6512
MEN1,PD,D08559,0.6506
MEN1,PD,D04900,0.6481
MEN1,PD,D00651,0.6481
MEN1,PD,D08664,0.6459
MEN1,PD,D00808,0.6451
MEN1,PD,D00962,0.6451
MEN1,PD,D00234,0.6431
MEN1,PD,D00450,0.6416
MEN1,PD,D01585,0.6404
MEN1,PD,D03155,0.6395
MEN1,PD,D00159,0.6393
MEN1,PD,D08971,0.6381
MEN1,PD,D01173,0.6361
MEN1,PD,D00569,0.6323
MEN1,PD,D00336,0.6319
MEN1,PD,D00231,0.6318
MEN1,PD,D00160,0.6316
MEN1,PD,D00791,0.6314
MEN1,PD,D00966,0.6312
MEN1,PD,D00228,0.6303
MEN1,PD,D05107,0.6277
MEN1,PD,D00397,0.6265
MEN1,PD,D05024,0.626
MEN1,PD,D07943,0.619
MEN1,PD,D01145,0.6187
MEN1,PD,D07858,0.6179
MEN1,PD,D00521,0.6167
MEN1,PD,D00066,0.6148
MEN1,PD,D00295,0.6137
MEN1,PD,D01500,0.6117
MEN1,PD,D01035,0.6116
MEN1,PD,D06238,0.6102
MEN1,PD,D01023,0.6056
MEN1,PD,D00313,0.6052
MEN1,PD,D07776,0.604
MEN1,PD,D02877,0.6027
MINK1,PD,D08552,0.7732
MINK1,PD,D08279,0.6759
MINK1,PD,D06407,0.6431
MINK1,PD,D03252,0.6089
MKNK2,PD,D09868,0.8058
MKNK2,PD,D08552,0.7361
MTOR,PD,D00560,0.6613
MTOR,PD,D00437,0.6309
NR3C1,PD,D00066,0.9608
NR3C1,PD,D00088,0.9429
NR3C1,PD,D00951,0.8916
NR3C1,PD,D00289,0.8455
NR3C1,PD,D00075,0.8069
NR3C1,PD,D07495,0.792
NR3C1,PD,D00328,0.7891
NR3C1,PD,D00585,0.7861
NR3C1,PD,D00443,0.7796
NR3C1,PD,D00165,0.7793
NR3C1,PD,D02996,0.7779
NR3C1,PD,D00325,0.7768
NR3C1,PD,D01387,0.775
NR3C1,PD,D00385,0.7693
NR3C1,PD,D00408,0.7693
NR3C1,PD,D00327,0.7643
NR3C1,PD,D00105,0.7585
NR3C1,PD,D01825,0.7581
NR3C1,PD,D00554,0.739
NR3C1,PD,D00983,0.7357
NR3C1,PD,D00185,0.7349
NR3C1,PD,D09571,0.7345
NR3C1,PD,D08277,0.7302
NR3C1,PD,D00472,0.7297
NR3C1,PD,D01327,0.7223
NR3C1,PD,D00407,0.7216
NR3C1,PD,D00246,0.7207
NR3C1,PD,D08465,0.7179
NR3C1,PD,D00952,0.7137
NR3C1,PD,D00292,0.7107
NR3C1,PD,D03697,0.7103
NR3C1,PD,D07967,0.7102
NR3C1,PD,D01299,0.7095
NR3C1,PD,D07456,0.7049
NR3C1,PD,D01442,0.6995
NR3C1,PD,D00051,0.6961
NR3C1,PD,D01367,0.6934
NR3C1,PD,D04208,0.6907
NR3C1,PD,D01273,0.6901
NR3C1,PD,D01464,0.6899
NR3C1,PD,D02217,0.6894
NR3C1,PD,D00282,0.6865
NR3C1,PD,D02288,0.6827
NR3C1,PD,D03625,0.6823
NR3C1,PD,D01266,0.6818
NR3C1,PD,D08052,0.6776
NR3C1,PD,D07796,0.6754
NR3C1,PD,D00980,0.674
NR3C1,PD,D00978,0.6728
NR3C1,PD,D07749,0.6637
NR3C1,PD,D07715,0.6589
NR3C1,PD,D01708,0.6571
NR3C1,PD,D00182,0.6426
NR3C1,PD,D00577,0.6316
NR3C1,PD,D00244,0.621
NR3C1,PD,D01953,0.6162
NR3C1,PD,D02174,0.6156
NR3C1,PD,D02289,0.6146
NR3C1,PD,D01156,0.6114
NR3C1,PD,D07116,0.6091
NR3C1,PD,D03569,0.6004
NTRK1,PD,D08552,1
NTRK1,PD,D08279,0.8249
NTRK1,PD,D09635,0.7166
NTRK3,PD,D08552,0.9026
NTRK3,PD,D08279,0.7597
NTRK3,PD,D09635,0.6942
PAK6,PD,D08552,0.6138
PCSK4,PD,D00043,0.8248
PCSK4,PD,D07606,0.7099
PCSK4,PD,D00160,0.6553
PDE1A,PD,D00528,1
PDE1A,PD,D00501,0.9592
PDE1A,PD,D01453,0.9077
PDE1A,PD,D00371,0.8945
PDE1A,PD,D06103,0.8719
PDE1A,PD,D00227,0.8481
PDE1A,PD,D05429,0.8345
PDE1A,PD,D01712,0.8268
PDE1A,PD,D06104,0.8236
PDE1A,PD,D07425,0.81
PDE1A,PD,D01630,0.7771
PDE1A,PD,D02218,0.7708
PDE1A,PD,D00417,0.7686
PDE1A,PD,D02017,0.7674
PDE1A,PD,D01771,0.766
PDE1A,PD,D07603,0.7621
PDE1A,PD,D07439,0.7449
PDE1A,PD,D07089,0.743
PDE1A,PD,D00691,0.7278
PDE1A,PD,D08238,0.726
PDE1A,PD,D00302,0.7199
PDE1A,PD,D07961,0.7094
PDE1A,PD,D00718,0.7016
PDE1A,PD,D01220,0.6827
PDE1A,PD,D06132,0.6314
PDE1A,PD,D02884,0.6298
PDGFRA,PD,D03736,1
PDGFRA,PD,D08524,1
PDGFRA,PD,D09635,1
PDGFRA,PD,D06407,0.841
PDGFRA,PD,D08066,0.7624
PDGFRA,PD,D08552,0.7609
PDGFRA,PD,D08881,0.7351
PDGFRA,PD,D08279,0.7068
PDGFRA,PD,D08953,0.6414
PDGFRA,PD,D09589,0.6324
PDGFRA,PD,D09955,0.6128
PDGFRB,PD,D03736,1
PDGFRB,PD,D08524,1
PDGFRB,PD,D09635,1
PDGFRB,PD,D08066,0.8345
PDGFRB,PD,D06407,0.8336
PDGFRB,PD,D08881,0.7988
PDGFRB,PD,D08279,0.7966
PDGFRB,PD,D08552,0.7478
PDGFRB,PD,D09589,0.72
PDGFRB,PD,D09955,0.6934
PDGFRB,PD,D08953,0.6763
PDGFRB,PD,D06678,0.6467
PDGFRB,PD,D06005,0.6278
PKN1,PD,D08552,0.6226
PRKCD,PD,D09868,0.6632
PRKCE,PD,D09868,0.6527
PRKCQ,PD,D08552,0.6288
PSMD7,PD,D00283,0.7834
PSMD7,PD,D00454,0.7793
PSMD7,PD,D01321,0.7697
PSMD7,PD,D08456,0.7634
PSMD7,PD,D00561,0.7348
PSMD7,PD,D00426,0.728
PSMD7,PD,D02629,0.6911
PSMD7,PD,D08687,0.6884
PSMD7,PD,D01164,0.6532
PSMD7,PD,D00513,0.6378
PSMD7,PD,D00451,0.6309
PSMD7,PD,D02357,0.6216
PSMD7,PD,D07880,0.6211
PTK2B,PD,D08552,0.7098
PTK2B,PD,D08279,0.6157
RECQL,PD,D08224,0.6298
RECQL,PD,D02166,0.6224
ROCK2,PD,D08552,0.8019
ROCK2,PD,D09868,0.6936
RPS6KA1,PD,D08552,0.7141
RPS6KA1,PD,D09868,0.7117
RPS6KA2,PD,D08552,0.7929
RPS6KA4,PD,D09868,0.6126
RPS6KA4,PD,D08552,0.6068
RPS6KB1,PD,D08552,0.8127
RYR2,PD,D07447,0.7803
RYR2,PD,D00332,0.7768
RYR2,PD,D00354,0.7318
RYR2,PD,D00437,0.7232
RYR2,PD,D01908,0.6716
RYR2,PD,D00618,0.6704
RYR2,PD,D00629,0.6387
RYR2,PD,D00319,0.6128
SIK2,PD,D08279,0.7371
SIK2,PD,D08950,0.6979
SIK2,PD,D05399,0.6778
SIK2,PD,D03252,0.6444
SIK2,PD,D09731,0.6219
SMN2,PD,D00238,0.9101
SMN2,PD,D08044,0.8866
SMN2,PD,D02335,0.886
SMN2,PD,D00369,0.8826
SMN2,PD,D01264,0.8792
SMN2,PD,D08603,0.879
SMN2,PD,D03625,0.8779
SMN2,PD,D00507,0.8775
SMN2,PD,D08358,0.8775
SMN2,PD,D01140,0.8718
SMN2,PD,D01046,0.866
SMN2,PD,D02910,0.8654
SMN2,PD,D07792,0.8617
SMN2,PD,D02486,0.8614
SMN2,PD,D00266,0.8606
SMN2,PD,D04876,0.8606
SMN2,PD,D01338,0.8522
SMN2,PD,D02166,0.852
SMN2,PD,D00423,0.8515
SMN2,PD,D01275,0.8364
SMN2,PD,D00636,0.8346
SMN2,PD,D00066,0.8287
SMN2,PD,D01575,0.8219
SMN2,PD,D00372,0.8214
SMN2,PD,D00294,0.8209
SMN2,PD,D00586,0.8202
SMN2,PD,D00475,0.8193
SMN2,PD,D00802,0.818
SMN2,PD,D02027,0.816
SMN2,PD,D00965,0.8147
SMN2,PD,D00401,0.8132
SMN2,PD,D01678,0.8085
SMN2,PD,D08224,0.8061
SMN2,PD,D00640,0.8027
SMN2,PD,D02312,0.8026
SMN2,PD,D00425,0.802
SMN2,PD,D02218,0.8011
SMN2,PD,D05738,0.7994
SMN2,PD,D07270,0.7983
SMN2,PD,D05229,0.7961
SMN2,PD,D00789,0.7954
SMN2,PD,D01302,0.7921
SMN2,PD,D00386,0.7918
SMN2,PD,D00209,0.7908
SMN2,PD,D03135,0.7895
SMN2,PD,D00749,0.7851
SMN2,PD,D00302,0.7847
SMN2,PD,D05799,0.781
SMN2,PD,D05529,0.7795
SMN2,PD,D00436,0.7783
SMN2,PD,D07927,0.7758
SMN2,PD,D00471,0.7739
SMN2,PD,D01049,0.7739
SMN2,PD,D00775,0.7699
SMN2,PD,D00159,0.7687
SMN2,PD,D02418,0.768
SMN2,PD,D01552,0.7662
SMN2,PD,D07425,0.7661
SMN2,PD,D00830,0.7646
SMN2,PD,D07457,0.7645
SMN2,PD,D07245,0.763
SMN2,PD,D00332,0.7627
SMN2,PD,D04931,0.7625
SMN2,PD,D00565,0.7569
SMN2,PD,D00654,0.7556
SMN2,PD,D00340,0.7527
SMN2,PD,D01042,0.7525
SMN2,PD,D07926,0.7522
SMN2,PD,D00651,0.7515
SMN2,PD,D00051,0.7508
SMN2,PD,D08435,0.7508
SMN2,PD,D00886,0.7505
SMN2,PD,D03882,0.7503
SMN2,PD,D05170,0.7495
SMN2,PD,D00270,0.7493
SMN2,PD,D04184,0.7485
SMN2,PD,D04530,0.7483
SMN2,PD,D07260,0.7476
SMN2,PD,D01784,0.7476
SMN2,PD,D04162,0.7465
SMN2,PD,D00214,0.7463
SMN2,PD,D01366,0.7456
SMN2,PD,D08062,0.7454
SMN2,PD,D00577,0.7453
SMN2,PD,D01896,0.7452
SMN2,PD,D02846,0.745
SMN2,PD,D00488,0.7437
SMN2,PD,D07218,0.7434
SMN2,PD,D03029,0.7412
SMN2,PD,D01392,0.7409
SMN2,PD,D00269,0.7406
SMN2,PD,D00859,0.7406
SMN2,PD,D00798,0.7401
SMN2,PD,D00334,0.7396
SMN2,PD,D00112,0.7373
SMN2,PD,D07337,0.7371
SMN2,PD,D01371,0.7362
SMN2,PD,D01426,0.7327
SMN2,PD,D00359,0.7315
SMN2,PD,D00862,0.7314
SMN2,PD,D00583,0.7311
SMN2,PD,D07282,0.731
SMN2,PD,D05442,0.7299
SMN2,PD,D00493,0.7258
SMN2,PD,D08349,0.7246
SMN2,PD,D00541,0.7242
SMN2,PD,D01344,0.7239
SMN2,PD,D01370,0.7232
SMN2,PD,D00994,0.7219
SMN2,PD,D07231,0.7216
SMN2,PD,D02289,0.7205
SMN2,PD,D00196,0.7186
SMN2,PD,D01364,0.7182
SMN2,PD,D00691,0.716
SMN2,PD,D05822,0.7156
SMN2,PD,D02413,0.7131
SMN2,PD,D05456,0.713
SMN2,PD,D05200,0.7125
SMN2,PD,D00536,0.7119
SMN2,PD,D00088,0.71
SMN2,PD,D00391,0.7096
SMN2,PD,D00481,0.7072
SMN2,PD,D02754,0.7052
SMN2,PD,D00054,0.7046
SMN2,PD,D03585,0.7021
SMN2,PD,D00402,0.7019
SMN2,PD,D00881,0.7016
SMN2,PD,D07110,0.7
SMN2,PD,D05191,0.6994
SMN2,PD,D00808,0.6993
SMN2,PD,D03369,0.6983
SMN2,PD,D00234,0.6973
SMN2,PD,D01500,0.6951
SMN2,PD,D05460,0.6933
SMN2,PD,D03985,0.6917
SMN2,PD,D00218,0.6887
SMN2,PD,D01271,0.6872
SMN2,PD,D04970,0.6871
SMN2,PD,D01771,0.6864
SMN2,PD,D00952,0.685
SMN2,PD,D01763,0.683
SMN2,PD,D07749,0.6821
SMN2,PD,D03472,0.6806
SMN2,PD,D00364,0.6794
SMN2,PD,D07109,0.6767
SMN2,PD,D00501,0.6763
SMN2,PD,D03165,0.6755
SMN2,PD,D07984,0.6739
SMN2,PD,D08258,0.6731
SMN2,PD,D00094,0.6714
SMN2,PD,D00603,0.6709
SMN2,PD,D01299,0.6709
SMN2,PD,D02015,0.6697
SMN2,PD,D00335,0.6687
SMN2,PD,D00333,0.6685
SMN2,PD,D06650,0.6635
SMN2,PD,D04197,0.6628
SMN2,PD,D00351,0.6627
SMN2,PD,D02302,0.6622
SMN2,PD,D01186,0.6613
SMN2,PD,D04375,0.6607
SMN2,PD,D00142,0.6597
SMN2,PD,D08644,0.6596
SMN2,PD,D03698,0.6579
SMN2,PD,D00638,0.6569
SMN2,PD,D08052,0.6533
SMN2,PD,D00328,0.6499
SMN2,PD,D01166,0.6493
SMN2,PD,D05947,0.6488
SMN2,PD,D03595,0.6482
SMN2,PD,D02620,0.647
SMN2,PD,D00899,0.6463
SMN2,PD,D00584,0.6459
SMN2,PD,D07214,0.6455
SMN2,PD,D00911,0.6444
SMN2,PD,D00697,0.6432
SMN2,PD,D02439,0.6429
SMN2,PD,D02629,0.6407
SMN2,PD,D05660,0.64
SMN2,PD,D02211,0.6399
SMN2,PD,D07520,0.6379
SMN2,PD,D03697,0.6376
SMN2,PD,D05495,0.6366
SMN2,PD,D00907,0.6328
SMN2,PD,D06200,0.6327
SMN2,PD,D05207,0.6301
SMN2,PD,D02772,0.6283
SMN2,PD,D00949,0.6279
SMN2,PD,D00295,0.6277
SMN2,PD,D07943,0.6262
SMN2,PD,D05096,0.6254
SMN2,PD,D00426,0.6243
SMN2,PD,D07941,0.6228
SMN2,PD,D00345,0.6188
SMN2,PD,D02241,0.6184
SMN2,PD,D07280,0.6173
SMN2,PD,D02564,0.6142
SMN2,PD,D00228,0.6139
SMN2,PD,D00794,0.6101
SMN2,PD,D08207,0.6063
SMN2,PD,D00560,0.6
SRPK1,PD,D08552,0.7993
SRPK1,PD,D08279,0.6043
STK16,PD,D08552,0.6555
STK25,PD,D08279,0.683
STK25,PD,D08552,0.6539
STK4,PD,D08279,0.8302
STK4,PD,D08552,0.6866
STK4,PD,D09731,0.6561
STK4,PD,D08950,0.6063
TAOK3,PD,D08552,0.8962
TAOK3,PD,D08279,0.7182
TDP1,PD,D00417,1
TDP1,PD,D00501,1
TDP1,PD,D00528,1
TDP1,PD,D00808,0.9507
TDP1,PD,D06096,0.87
TDP1,PD,D08224,0.857
TDP1,PD,D02166,0.8355
TDP1,PD,D07425,0.8171
TDP1,PD,D03882,0.8023
TDP1,PD,D01046,0.795
TDP1,PD,D08465,0.751
TDP1,PD,D00908,0.7468
TDP1,PD,D02005,0.7364
TDP1,PD,D05294,0.7044
TDP1,PD,D00290,0.7043
TDP1,PD,D00233,0.7038
TDP1,PD,D07870,0.7031
TDP1,PD,D01261,0.7014
TDP1,PD,D00881,0.6864
TDP1,PD,D04441,0.6862
TDP1,PD,D00086,0.68
